0 ,0.0 ,0.0 ,-72.8 ,-70.066666666666 ,-65.866666666666 ,-10.733333333333 
1 ,111.0 ,0.0 ,-68.533333333333 ,-67.785714285714 ,-70.142857142857 ,-76.0 
2 ,222.0 ,0.0 ,-44.8 ,-66.2 ,-72.0 ,-74.0 
3 ,333.0 ,0.0 ,-27.733333333333 ,-20.0 ,-26.857142857142 ,-31.2 
4 ,444.0 ,0.0 ,-74.8 ,-71.142857142857 ,-22.5 ,-36.4 
5 ,0.0 ,111.0 ,-64.733333333333 ,-66.857142857142 ,-65.5 ,-68.733333333333 
6 ,111.0 ,111.0 ,-56.333333333333 ,-67.6 ,-64.666666666666 ,-66.933333333333 
7 ,222.0 ,111.0 ,-48.066666666666 ,-65.0 ,-71.133333333333 ,-68.733333333333 
8 ,333.0 ,111.0 ,-56.466666666666 ,-65.333333333333 ,-70.8 ,-69.066666666666 
3 ,333.0 ,0.0 ,-73.933333333333 ,-73.666666666666 ,-73.933333333333 ,-77.4 
9 ,444.0 ,111.0 ,-65.6 ,-69.142857142857 ,-67.571428571428 ,-76.4 
10 ,0.0 ,222.0 ,-61.666666666666 ,-69.571428571428 ,-67.133333333333 ,-68.933333333333 
11 ,111.0 ,222.0 ,-55.466666666666 ,-67.333333333333 ,-64.6 ,-71.533333333333 
12 ,222.0 ,222.0 ,-55.133333333333 ,-65.2 ,-71.333333333333 ,-70.466666666666 
13 ,333.0 ,222.0 ,-62.266666666666 ,-66.8 ,-69.533333333333 ,-71.866666666666 
14 ,444.0 ,222.0 ,-67.733333333333 ,-68.571428571428 ,-45.285714285714 ,-74.066666666666 
15 ,0.0 ,333.0 ,-56.933333333333 ,-63.733333333333 ,-72.6 ,-70.066666666666 
16 ,111.0 ,333.0 ,-55.571428571428 ,-66.533333333333 ,-67.533333333333 ,-63.571428571428 
17 ,222.0 ,333.0 ,-62.333333333333 ,-66.2 ,-66.928571428571 ,-65.866666666666 
18 ,333.0 ,333.0 ,-65.071428571428 ,-65.533333333333 ,-73.666666666666 ,-68.142857142857 
19 ,430.0 ,333.0 ,-67.666666666666 ,-63.466666666666 ,-72.533333333333 ,-73.666666666666 
20 ,0.0 ,444.0 ,-69.333333333333 ,-68.5 ,-67.857142857142 ,-69.0 
21 ,111.0 ,444.0 ,-55.285714285714 ,0.0 ,-42.066666666666 ,-16.857142857142 
22 ,222.0 ,444.0 ,-69.333333333333 ,-64.4 ,-73.5 ,-73.666666666666 
23 ,333.0 ,444.0 ,-66.785714285714 ,-64.8 ,-69.133333333333 ,-74.785714285714 
24 ,414.0 ,444.0 ,-74.866666666666 ,-56.857142857142 ,-65.571428571428 ,-71.4 
25 ,0.0 ,555.0 ,-69.333333333333 ,-77.066666666666 ,-72.533333333333 ,-68.066666666666 
26 ,111.0 ,555.0 ,-73.5 ,-76.066666666666 ,-73.733333333333 ,-73.642857142857 
27 ,222.0 ,555.0 ,-69.066666666666 ,-69.5 ,-69.571428571428 ,-72.266666666666 
